song_order,song_id,song_title,song_title_initial,song_category,song_category_label,song_has_data,chart_expert_lebel,chart_expert_constant,chart_expert_is_new,song_has_inferno,chart_inferno_lebel,chart_inferno_constant,chart_inferno_is_new
1,2204,叩ケ 叩ケ 手ェ叩ケ,た,1,アニメ／POP,true,12,12.3,true,false,,,
2,2228,Fly to NEW WORLD,F,1,アニメ／POP,true,12,12.2,true,false,,,
3,2227,透明声彩,た,1,アニメ／POP,true,11+,11.8,true,false,,,
4,3023,うっせぇわ,あ,1,アニメ／POP,true,12,12.2,true,false,,,
5,3003,Fam☆Fam☆Time!,F,1,アニメ／POP,true,11+,11.9,true,false,,,
6,2253,cœur,C,1,アニメ／POP,true,12+,12.7,false,false,,,
7,2254,私はNo 1！,わ,1,アニメ／POP,true,12,12.3,false,false,,,
8,2252,ソロモン・ナイト,さ,1,アニメ／POP,true,13,13.4,false,false,,,
9,2243,LOVE!HUG!GROOVY!!,L,1,アニメ／POP,true,12,12.4,false,true,13,13.5,false
10,2244,Dig Delight!,D,1,アニメ／POP,true,11,11.4,false,false,,,
11,2245,電乱★カウントダウン,た,1,アニメ／POP,true,12,12.5,false,false,,,
12,2246,Photon Melodies,P,1,アニメ／POP,true,11,11.5,false,false,,,
13,2251,ぐるぐるDJ TURN!!,か,1,アニメ／POP,true,12+,12.8,false,false,,,
14,2058,sister's noise,S,1,アニメ／POP,true,10,10.1,false,false,,,
15,2202,なだめスかし Negotiation,な,1,アニメ／POP,true,11+,11.9,false,false,,,
16,1219,サクリファイス,さ,1,アニメ／POP,true,12,12.2,false,false,,,
17,2203,非実在系女子たちはどうすりゃいいですか？,は,1,アニメ／POP,true,12,12.6,false,false,,,
18,2021,ぺこみこ大戦争！！,は,1,アニメ／POP,true,11,11.2,false,true,13,13.2,false
19,2024,Say!ファンファーレ!,S,1,アニメ／POP,true,12,12.5,false,false,,,
20,2067,NEXT COLOR PLANET,N,1,アニメ／POP,true,12,12.6,false,false,,,
21,2066,夢見る空へ,や,1,アニメ／POP,true,11,11.3,false,false,,,
22,1204,お願いマッスル,あ,1,アニメ／POP,true,10+,10.7,false,false,,,
23,2043,マッチョアネーム？,ま,1,アニメ／POP,true,12+,12.7,false,false,,,
24,2068,HELLO to DREAM,H,1,アニメ／POP,true,9+,9.7,false,false,,,
25,2069,over and over,O,1,アニメ／POP,true,10,10.4,false,false,,,
26,2084,トロピカッ☆バケーション,た,1,アニメ／POP,true,10+,10.7,false,false,,,
27,2001,秒針を噛む,は,1,アニメ／POP,true,11,11.0,false,false,,,
28,1020,ないものねだり,な,1,アニメ／POP,true,11,11.1,false,false,,,
